timestamp,thread,cls,name,method,tag,arg_0,arg_1,arg_2,arg_3,arg_4,arg_5,arg_6,arg_7,arg_8,arg_9,arg_10,arg_11,arg_12,arg_13,arg_14,arg_15,arg_16,arg_17,arg_18,arg_19
34,main,Inertial,inertial,state,,1,549,0,0,1,0,0,0,0.3662221,0.7019257,0.06103702,0.01452637,0.00390625,1.008423,1
35,main,Inertial,inertial,calibrate,
2135,main,Inertial,inertial,state,,1,2619,0.0003748615,0.0003748615,0,0.1111541,0.4496427,0.0003748615,0,0,0,0.01379395,0.003295898,1.007813,1
2136,main,Gps,gps,state,,1,1879,179.3459,179.3459,-742.7076,-186.3805,100,0,5.343956,-0.2866494,179.3459,-0.5798517,-1.251259,1.098666,0.0001220703,-0.05981445,-1.003296,1
2142,main,Gps,gps,calibrate,
4243,main,Gps,gps,state,,1,3972,179.255,179.255,-744.0857,-187.6267,100,0,5.42056,0.07854173,179.255,0,0,0,-0.0003662109,-0.0604248,-1.004272,1
4244,main,Inertial,inertial,set_heading,,179.255
9126,t55470228,Controller,controller,axis2_changed,,-93,-9.787401
9126,t55994516,Motor,motor_lf,spin_volts,,0,-3.834646
9126,t55470228,Motor,motor_rf,spin_volts,,0,-9.787401
9132,t55994516,Motor,motor_lf,spin_volts,,0,-3.834646
9132,t55470228,Motor,motor_rf,spin_volts,,0,-9.787401
9132,t55994516,Motor,motor_lb,spin_volts,,0,-3.834646
9132,t55470228,Motor,motor_rb,spin_volts,,0,-9.787401
9133,t55994516,Motor,motor_lb,spin_volts,,0,-3.834646
9133,t55470228,Motor,motor_rb,spin_volts,,0,-9.787401
9158,t55994516,Controller,controller,axis3_changed,,-90,-9.503937
9158,t55470228,Controller,controller,axis2_changed,,-119,-12.24409
9158,t55994516,Motor,motor_lf,spin_volts,,0,-9.503937
9158,t55470228,Motor,motor_rf,spin_volts,,0,-12.24409
9164,t55994516,Motor,motor_lf,spin_volts,,0,-9.503937
9164,t55470228,Motor,motor_rf,spin_volts,,0,-12.24409
9165,t55994516,Motor,motor_lb,spin_volts,,0,-9.503937
9165,t55470228,Motor,motor_rb,spin_volts,,0,-12.24409
9165,t55994516,Motor,motor_lb,spin_volts,,0,-9.503937
9165,t55470228,Motor,motor_rb,spin_volts,,0,-12.24409
9180,t55994516,Controller,controller,axis3_changed,,-127,-13
9180,t55470228,Controller,controller,axis2_changed,,-127,-13
9185,t55994516,Motor,motor_lf,spin_volts,,0,-13
9185,t55470228,Motor,motor_rf,spin_volts,,0,-13
9186,t55994516,Motor,motor_lf,spin_volts,,0,-13
9186,t55470228,Motor,motor_rf,spin_volts,,0,-13
9187,t55994516,Motor,motor_lb,spin_volts,,0,-13
9187,t55470228,Motor,motor_rb,spin_volts,,0,-13
9187,t55994516,Motor,motor_lb,spin_volts,,0,-13
9187,t55470228,Motor,motor_rb,spin_volts,,0,-13
9516,t55470228,Controller,controller,axis2_changed,,-108,-11.20472
9516,t55470228,Motor,motor_rf,spin_volts,,0,-11.20472
9521,t55470228,Motor,motor_rf,spin_volts,,0,-11.20472
9521,t55470228,Motor,motor_rb,spin_volts,,0,-11.20472
9522,t55470228,Motor,motor_rb,spin_volts,,0,-11.20472
9537,t55994516,Controller,controller,axis3_changed,,-112,-11.58268
9537,t55470228,Controller,controller,axis2_changed,,-20,-2.889764
9537,t55994516,Motor,motor_lf,spin_volts,,0,-11.58268
9537,t55470228,Motor,motor_rf,spin_volts,,0,-2.889764
9538,t55994516,Motor,motor_lf,spin_volts,,0,-11.58268
9538,t55470228,Motor,motor_rf,spin_volts,,0,-2.889764
9543,t55994516,Motor,motor_lb,spin_volts,,0,-11.58268
9543,t55470228,Motor,motor_rb,spin_volts,,0,-2.889764
9543,t55994516,Motor,motor_lb,spin_volts,,0,-11.58268
9543,t55470228,Motor,motor_rb,spin_volts,,0,-2.889764
9569,t55470228,Controller,controller,axis2_changed,,0,0
9569,t55994516,Controller,controller,axis3_changed,,-43,-5.062992
9569,t55470228,Motor,motor_rf,spin_volts,,0,0
9569,t55994516,Motor,motor_lf,spin_volts,,0,-5.062992
9570,t55470228,Motor,motor_rf,spin_volts,,0,0
9570,t55994516,Motor,motor_lf,spin_volts,,0,-5.062992
9570,t55470228,Motor,motor_rb,spin_volts,,0,0
9574,t55994516,Motor,motor_lb,spin_volts,,0,-5.062992
9574,t55470228,Motor,motor_rb,spin_volts,,0,0
9575,t55994516,Motor,motor_lb,spin_volts,,0,-5.062992
9580,t55994516,Controller,controller,axis3_changed,,0,0
9580,t55994516,Motor,motor_lf,spin_volts,,0,0
9580,t55994516,Motor,motor_lf,spin_volts,,0,0
9580,t55994516,Motor,motor_lb,spin_volts,,0,0
9581,t55994516,Motor,motor_lb,spin_volts,,0,0
11140,t55994516,Controller,controller,axis3_changed,,25,3.362205
11140,t55470228,Controller,controller,axis2_changed,,11,2.03937
11145,t55994516,Motor,motor_lf,spin_volts,,0,3.362205
11145,t55470228,Motor,motor_rf,spin_volts,,0,2.03937
11146,t55994516,Motor,motor_lf,spin_volts,,0,3.362205
11146,t55470228,Motor,motor_rf,spin_volts,,0,2.03937
11146,t55994516,Motor,motor_lb,spin_volts,,0,3.362205
11146,t55470228,Motor,motor_rb,spin_volts,,0,2.03937
11147,t55994516,Motor,motor_lb,spin_volts,,0,3.362205
11147,t55470228,Motor,motor_rb,spin_volts,,0,2.03937
11166,t55994516,Controller,controller,axis3_changed,,61,6.76378
11166,t55470228,Controller,controller,axis2_changed,,45,5.251968
11166,t55994516,Motor,motor_lf,spin_volts,,0,6.76378
11166,t55470228,Motor,motor_rf,spin_volts,,0,5.251968
11167,t55994516,Motor,motor_lf,spin_volts,,0,6.76378
11167,t55470228,Motor,motor_rf,spin_volts,,0,5.251968
11167,t55994516,Motor,motor_lb,spin_volts,,0,6.76378
11167,t55470228,Motor,motor_rb,spin_volts,,0,5.251968
11168,t55994516,Motor,motor_lb,spin_volts,,0,6.76378
11168,t55470228,Motor,motor_rb,spin_volts,,0,5.251968
11200,t55470228,Controller,controller,axis2_changed,,115,11.86614
11200,t55994516,Controller,controller,axis3_changed,,127,13
11200,t55470228,Motor,motor_rf,spin_volts,,0,11.86614
11200,t55994516,Motor,motor_lf,spin_volts,,0,13
11201,t55470228,Motor,motor_rf,spin_volts,,0,11.86614
11201,t55994516,Motor,motor_lf,spin_volts,,0,13
11201,t55470228,Motor,motor_rb,spin_volts,,0,11.86614
11201,t55994516,Motor,motor_lb,spin_volts,,0,13
11202,t55470228,Motor,motor_rb,spin_volts,,0,11.86614
11202,t55994516,Motor,motor_lb,spin_volts,,0,13
11219,t55470228,Controller,controller,axis2_changed,,127,13
11219,t55470228,Motor,motor_rf,spin_volts,,0,13
11219,t55470228,Motor,motor_rf,spin_volts,,0,13
11220,t55470228,Motor,motor_rb,spin_volts,,0,13
11220,t55470228,Motor,motor_rb,spin_volts,,0,13
11479,t55994516,Controller,controller,axis3_changed,,112,11.58268
11479,t55994516,Motor,motor_lf,spin_volts,,0,11.58268
11479,t55994516,Motor,motor_lf,spin_volts,,0,11.58268
11480,t55994516,Motor,motor_lb,spin_volts,,0,11.58268
11485,t55994516,Motor,motor_lb,spin_volts,,0,11.58268
11501,t55994516,Controller,controller,axis3_changed,,70,7.614173
11501,t55470228,Controller,controller,axis2_changed,,109,11.29921
11501,t55994516,Motor,motor_lf,spin_volts,,0,7.614173
11501,t55470228,Motor,motor_rf,spin_volts,,0,11.29921
11502,t55994516,Motor,motor_lf,spin_volts,,0,7.614173
11502,t55470228,Motor,motor_rf,spin_volts,,0,11.29921
11502,t55994516,Motor,motor_lb,spin_volts,,0,7.614173
11502,t55470228,Motor,motor_rb,spin_volts,,0,11.29921
11508,t55994516,Motor,motor_lb,spin_volts,,0,7.614173
11508,t55470228,Motor,motor_rb,spin_volts,,0,11.29921
11529,t55994516,Controller,controller,axis3_changed,,0,0
11529,t55470228,Controller,controller,axis2_changed,,77,8.275591
11529,t55994516,Motor,motor_lf,spin_volts,,0,0
11529,t55470228,Motor,motor_rf,spin_volts,,0,8.275591
11530,t55994516,Motor,motor_lf,spin_volts,,0,0
11530,t55470228,Motor,motor_rf,spin_volts,,0,8.275591
11530,t55994516,Motor,motor_lb,spin_volts,,0,0
11530,t55470228,Motor,motor_rb,spin_volts,,0,8.275591
11535,t55994516,Motor,motor_lb,spin_volts,,0,0
11536,t55470228,Motor,motor_rb,spin_volts,,0,8.275591
11581,t55470228,Controller,controller,axis2_changed,,0,0
11581,t55470228,Motor,motor_rf,spin_volts,,0,0
11581,t55470228,Motor,motor_rf,spin_volts,,0,0
11581,t55470228,Motor,motor_rb,spin_volts,,0,0
11582,t55470228,Motor,motor_rb,spin_volts,,0,0
12841,t55404692,Controller,controller,buttonX_pressed,
