sample,gps_start_heading,gps_start_x_position,gps_start_y_position,inertial_start_heading,inertial_start_rotation,distance_limit_forward,distance_limit_reverse,distance_estimate,left_direction,right_direction,volts,duration_ms,gps_stop_heading,gps_stop_x_position,gps_stop_y_position,inertial_stop_heading,inertial_stop_rotation,gps_cooldown_heading,gps_cooldown_x_position,gps_cooldown_y_position,inertial_cooldown_heading,inertial_cooldown_rotation,gps_final_heading,gps_final_x_position,gps_final_y_position,inertial_final_heading,inertial_final_rotation,gps_stop_angle,gps_cooldown_angle,gps_final_angle,inertial_stop_angle,inertial_cooldown_angle,inertial_final_angle,inertial_stop_travel,inertial_cooldown_travel,inertial_final_travel,gps_stop_distance,gps_cooldown_distance,gps_final_distance
37,216.8814,314.8817,592.4217,216.8814,-2330.139,2644.002,1509.701,2286.25,0.0,1.0,5.3,2750.0,52.74571,431.0808,700.2149,55.58103,-1771.439,97.56577,379.0372,610.0262,89.36398,-1737.656,99.32227,324.8427,598.2767,89.365,-1737.655,-164.1357,-119.3156,-117.5591,-161.3004,-127.5174,-127.5164,558.7,592.483,592.484,158.498,66.527,11.5543
38,99.39794,312.9047,596.4292,99.39794,-1737.656,1507.327,1219.945,2083.75,0.0,1.0,11.5,1150.0,292.6709,197.2651,624.9942,232.0298,-1245.024,39.4591,177.3978,635.0301,20.87913,-1096.174,30.94448,251.1674,613.5279,20.88031,-1096.173,-166.727,-59.9388,-68.4535,132.6319,-78.5188,-78.5176,492.632,641.482,641.483,119.1154,140.8977,64.0614
39,30.20365,249.4522,605.6323,30.20365,-1096.173,1381.982,2371.385,109.0,0.0,1.0,1.2,50.0,30.29148,259.4147,611.737,30.23154,-1096.145,30.12066,269.3849,604.6444,30.28293,-1096.094,30.12943,273.8718,603.0605,30.28325,-1096.094,0.0878,-0.083,-0.0742,0.0279,0.0793,0.0796,0.028,0.079,0.079,11.6841,19.9572,24.5547
40,30.91405,277.9453,623.4223,30.91405,-0.0827839,1371.4,2422.02,808.75,0.0,0.0,6.3,750.0,31.32599,509.9746,989.9796,31.80711,0.8102761,29.49303,585.2311,1126.05,30.00798,-0.9888533,29.48837,585.2217,1120.563,30.00867,-0.9881606,0.4119,-1.421,-1.4257,0.8931,-0.9061,-0.9054,0.8931,-0.9061,-0.9054,433.8224,589.1173,584.4379
41,29.50623,584.471,1121.083,29.50623,-0.9888,780.0928,2739.82,1552.0,1.0,0.0,8.8,1100.0,10.30127,480.4454,837.631,23.22871,-367.2663,289.1048,360.1803,1173.602,295.1143,-455.3807,288.6525,413.5581,1153.418,295.114,-455.381,-19.205,-100.4014,-100.8537,-6.2775,-94.3919,-94.3922,-366.2775,-454.3919,-454.3922,301.9377,230.3575,173.9447
42,287.9465,385.7623,1201.22,287.9465,-455.3802,629.404,1486.567,239.5,0.0,0.0,0.6,1550.0,287.8738,385.2778,1220.384,287.7873,-455.5394,287.8197,480.0215,1153.732,287.7839,-455.5429,288.334,521.7373,1121.611,287.7835,-455.5432,-0.0727,-0.1268,0.3875,-0.1592,-0.1626,-0.163,-0.1592,-0.1627,-0.163,19.1701,105.5458,157.5652
43,288.2052,492.5385,1145.141,288.2052,-455.5434,689.3657,1376.357,182.5,1.0,0.0,0.2,2750.0,288.495,508.1649,1136.772,288.2058,-455.5428,288.5505,502.93,1149.202,288.2057,-455.5429,288.3832,467.0967,1185.028,288.2046,-455.544,0.2898,0.3453,0.178,0.0006,0.0005,-0.0006,0.0006,0.0005,-0.0006,17.7264,11.1568,47.3102
44,288.4879,536.0295,1121.787,288.4879,-455.5428,715.12,1332.753,3400.0,1.0,0.0,8.8,2500.0,84.21481,740.7162,1016.394,124.1357,-1339.895,20.05131,537.8,1178.071,34.53246,-1429.498,20.48643,527.8071,1170.657,34.533,-1429.498,155.7269,91.5634,91.9985,-164.3522,106.0446,106.0451,-884.3522,-973.9552,-973.9552,230.2267,56.3118,49.5569
45,20.52549,523.2801,1170.33,20.52549,-1429.498,672.3535,2480.769,3334.0,0.0,1.0,9.8,2200.0,190.8862,505.1242,1201.659,151.5717,-578.4515,281.4862,486.2101,1187.636,259.4678,-470.5554,274.5902,482.013,1202.097,259.4684,-470.5548,170.3607,-99.0393,-105.9353,131.0462,-121.0577,-121.0571,851.0465,958.9426,958.9432,36.2097,40.9107,52.078
46,273.8104,498.8724,1124.458,273.8104,-470.5541,677.0386,1304.01,970.0,1.0,0.0,2.9,2000.0,102.7954,509.6081,1119.769,81.7829,-662.5816,69.87723,455.4566,1173.132,70.47559,-673.8889,68.59835,448.8318,1152.142,70.47647,-673.888,-171.015,156.0668,154.7879,167.9725,156.6652,156.6661,-192.0275,-203.3348,-203.3339,11.715,65.2234,57.188
