sample,gps_start_heading,gps_start_x_position,gps_start_y_position,inertial_start_heading,inertial_start_rotation,distance_limit_forward,distance_limit_reverse,distance_estimate,left_direction,right_direction,volts,duration_ms,gps_stop_heading,gps_stop_x_position,gps_stop_y_position,inertial_stop_heading,inertial_stop_rotation,gps_cooldown_heading,gps_cooldown_x_position,gps_cooldown_y_position,inertial_cooldown_heading,inertial_cooldown_rotation,gps_final_heading,gps_final_x_position,gps_final_y_position,inertial_final_heading,inertial_final_rotation,gps_stop_angle,gps_cooldown_angle,gps_final_angle,inertial_stop_angle,inertial_cooldown_angle,inertial_final_angle,inertial_stop_travel,inertial_cooldown_travel,inertial_final_travel,gps_stop_distance,gps_cooldown_distance,gps_final_distance
81,348.0952,-794.2978,712.1969,348.0952,896.5639,1111.714,2567.418,3092.5,0.0,1.0,10.5,1900.0,91.77011,-804.9038,773.4548,57.01578,1685.485,198.0514,-826.7486,693.7205,181.9186,1810.387,196.8245,-848.7114,720.2933,181.9187,1810.388,103.6749,-150.0438,-151.2707,68.9206,-166.1766,-166.1765,788.9211,913.8231,913.8241,62.1693,37.3421,55.0126
82,196.5984,-855.1976,681.8536,196.5984,1810.387,985.8834,1166.765,950.5,1.0,0.0,8.1,700.0,3.670307,-892.6012,716.2345,355.9833,1609.772,274.8061,-885.2708,784.9626,279.5722,1533.361,274.1706,-884.1944,782.1825,279.5727,1533.362,167.0719,78.2077,77.5722,159.3849,82.9738,82.9743,-200.615,-277.026,-277.025,50.8043,107.4051,104.4352
83,274.1421,-883.2367,781.7683,274.1421,1533.36,919.1642,2588.53,1553.5,1.0,0.0,5.1,1900.0,273.5219,-908.523,781.0644,273.4633,1172.682,233.6463,-966.9265,729.1965,239.6129,1138.831,233.3957,-964.5361,738.5394,239.6133,1138.831,-0.6202,-40.4958,-40.7464,-0.6788,-34.5292,-34.5288,-360.678,-394.529,-394.529,25.2961,98.8321,92.0778
84,233.3888,-964.1564,740.869,233.3888,1138.831,1041.289,1775.928,2128.0,0.0,1.0,10.4,1300.0,75.28562,-1017.014,774.0233,36.58623,1662.029,175.6254,-982.3992,842.3388,160.1726,1785.615,170.4977,-964.7797,833.38,160.1719,1785.614,-158.1032,-57.7634,-62.8911,163.1974,-73.2162,-73.2169,523.198,646.784,646.783,62.395,103.0967,92.5131
85,169.8537,-965.0962,838.9227,169.8537,1785.615,2680.848,976.3464,3092.5,1.0,0.0,7.0,2850.0,74.05675,-728.6405,1416.254,104.5506,1000.312,34.50513,-841.2384,920.426,47.29544,943.057,35.61353,-855.1143,912.9687,47.29754,943.059,-95.797,-135.3486,-134.2402,-65.3031,-122.5583,-122.5562,-785.303,-842.558,-842.556,623.8772,148.2685,132.5852
86,35.69692,-859.3795,909.5627,35.69692,943.0588,1096.443,1158.236,424.0,0.0,0.0,3.6,600.0,34.92853,-765.5924,1040.405,34.96211,942.324,34.64767,-730.2214,1098.647,34.65918,942.0211,34.63723,-733.1223,1095.588,34.65858,942.0205,-0.7684,-1.0493,-1.0597,-0.7348,-1.0377,-1.0383,-0.7348,-1.0377,-1.0383,160.9836,228.9862,224.825
87,34.64798,-734.3441,1096.006,34.64798,942.021,855.7528,1295.377,3131.5,1.0,0.0,8.6,2350.0,279.4386,-796.9537,1208.737,316.6208,143.9938,211.186,-985.6911,989.5269,226.9349,54.308,212.7783,-976.2543,1005.237,226.9354,54.30847,-115.2094,176.538,178.1303,-78.0272,-167.7131,-167.7126,-798.0272,-887.713,-887.7125,128.9505,272.9709,258.3787
88,213.0469,-956.0254,1019.984,213.0469,54.3083,1006.86,930.5568,1114.75,0.0,1.0,4.1,1650.0,95.24524,-846.644,1103.955,93.70172,294.9631,114.7886,-948.4443,1063.005,113.3853,314.6467,116.9299,-964.0896,1072.049,113.3856,314.6471,-117.8017,-98.2583,-96.117,-119.3452,-99.6616,-99.6613,240.6548,260.3384,260.3388,137.8964,43.6839,52.6858
89,117.1368,-965.9121,1067.651,117.1368,314.6476,3108.045,822.9379,347.5,1.0,1.0,6.6,250.0,117.1442,-1004.26,1089.641,117.2904,314.8013,117.9349,-1234.451,1237.963,117.7015,315.2123,118.1141,-1240.955,1221.485,117.7017,315.2126,0.0074,0.7981,0.9773,0.1536,0.5647,0.5649,0.1537,0.5647,0.565,44.2054,317.9926,315.1404
90,119.2541,-1235.642,1235.123,119.2541,-0.04047564,3478.805,646.8567,707.4999,1.0,0.0,9.0,450.0,351.6675,-1437.601,1382.764,349.3382,-129.9564,253.7468,-1325.699,1331.607,258.9202,-220.3743,254.3541,-1311.41,1323.914,258.9203,-220.3742,-127.5866,134.4927,135.1,-129.9159,139.6661,139.6662,-129.9159,-220.3338,-220.3337,250.1705,131.9827,116.7246
91,254.3868,-1308.189,1320.616,254.3868,-220.3746,510.6543,1781.157,236.5,1.0,0.0,9.1,100.0,246.5098,-1307.076,1304.907,249.9609,-224.8005,196.511,-1318.554,1191.636,196.5685,-278.1929,195.5287,-1321.306,1199.341,196.5682,-278.1931,-7.877,-57.8758,-58.8581,-4.4259,-57.8183,-57.8186,-4.4259,-57.8183,-57.8185,15.7484,129.3958,121.9823
92,195.369,-1326.389,1198.693,195.369,-278.1933,491.1761,623.608,1048.0,1.0,0.0,7.9,800.0,325.617,-1101.286,1653.289,330.562,-503.0002,251.2075,-1366.58,1309.006,256.1056,-577.4566,251.917,-1367.648,1306.202,256.1051,-577.4571,130.248,55.8385,56.548,135.193,60.7366,60.7361,-224.8069,-299.2633,-299.2638,507.2759,117.4064,115.1542
93,251.9522,-1367.618,1305.614,251.9522,-577.4573,454.7567,1595.777,3232.0,1.0,0.0,11.6,1800.0,36.59808,-1187.891,1424.744,152.6456,-1396.764,338.7277,-1089.428,1387.689,8.600847,-1540.809,353.5018,-1226.898,1375.443,8.601969,-1540.808,144.6459,86.7755,101.5496,-99.3066,116.6486,116.6498,-819.3067,-963.3517,-963.3507,215.6241,290.0448,157.093
94,354.5106,-1243.838,1376.227,354.5106,-1540.807,425.7257,3190.86,469.75,1.0,1.0,1.7,1450.0,356.8916,-1271.983,1198.391,356.2993,-1539.018,357.1674,-1291.924,1189.578,356.58,-1538.737,357.1725,-1301.171,1192.425,356.5797,-1538.738,2.381,2.6568,2.6619,1.7887,2.0694,2.0691,1.789,2.07,2.069,180.0494,192.7436,192.5364
95,357.1681,-1303.644,1193.791,357.1681,-1538.738,606.9504,2997.452,1987.0,1.0,1.0,7.4,1700.0,359.8462,-1313.515,-36.5289,359.4033,-1536.503,2.304651,-1318.109,-261.0674,1.881357,-1534.025,2.189891,-1307.055,-273.6145,1.880675,-1534.026,2.6781,5.1366,5.0218,2.2352,4.7133,4.7126,2.235,4.713,4.712,1230.3595,1454.9303,1467.4095
96,2.256688,-1319.491,-265.3245,2.256688,-1534.025,2066.928,480.8816,1517.5,1.0,0.0,5.4,1750.0,56.35002,-1406.056,-571.252,6.315028,-1889.967,330.8047,-1431.432,-276.2029,330.092,-1926.19,326.1271,-1420.825,-265.271,330.0912,-1926.191,54.0933,-31.452,-36.1296,4.0583,-32.1647,-32.1655,-355.942,-392.165,-392.166,317.9389,112.4683,101.334
97,325.5106,-1417.562,-258.8037,325.5106,-1926.19,675.383,1869.859,1807.75,1.0,1.0,6.9,1650.0,326.2003,-757.2698,-1209.106,326.9299,-1924.77,327.8332,-664.2014,-1344.573,328.983,-1922.717,327.8907,-652.8479,-1350.006,328.9845,-1922.716,0.6897,2.3226,2.3801,1.4193,3.4724,3.4739,1.42,3.473,3.474,1157.1777,1321.5321,1332.4827
98,327.8929,-652.7004,-1348.86,327.8929,-1922.717,2158.593,532.5979,128.5,0.0,1.0,1.9,100.0,328.395,-653.5872,-1347.142,328.4433,-1922.166,331.2572,-681.5538,-1352.814,330.8187,-1919.791,331.4241,-681.3392,-1348.529,330.8176,-1919.792,0.5021,3.3643,3.5312,0.5504,2.9258,2.9247,0.551,2.926,2.925,1.9334,29.1231,28.6407
99,331.4331,-672.8322,-1351.625,331.4331,-1919.792,2357.18,510.5264,1035.25,1.0,0.0,2.9,2150.0,122.2343,-688.0303,-1470.881,129.468,-2121.757,112.3808,-792.6519,-1412.774,115.6252,-2135.6,112.3824,-824.4264,-1382.762,115.6253,-2135.6,150.8012,140.9477,140.9493,158.0349,144.1921,144.1922,-201.965,-215.808,-215.808,120.2205,134.5212,154.7589
100,113.0292,-829.5285,-1363.545,113.0292,-0.03938889,474.2505,1054.51,586.0,1.0,1.0,5.4,600.0,114.2467,-987.2814,-1305.463,114.8071,1.738455,113.2232,-1096.033,-1297.308,115.1271,2.058519,113.0726,-1113.494,-1286.703,115.1271,2.058463,1.2175,0.194,0.0434,1.7779,2.0979,2.0979,1.7778,2.0979,2.0979,168.1056,274.6124,294.1787
101,113.1232,-1113.388,-1290.795,113.1232,2.058779,553.6862,746.5907,909.9999,1.0,0.0,7.2,750.0,275.8312,-1620.802,-1133.875,286.5796,-184.4848,226.5706,-1253.416,-1291.12,227.7581,-243.3063,227.8143,-1245.366,-1289.945,227.7579,-243.3065,162.708,113.4474,114.6911,173.4564,114.6349,114.6347,-186.5436,-245.3651,-245.3653,531.1241,140.0284,131.9807
102,227.8695,-1241.977,-1291.276,227.8695,-243.3064,752.4384,4101.807,572.5,0.0,0.0,9.0,350.0,224.1398,-1393.997,-1459.39,224.4345,-246.7414,215.8301,-1548.032,-1593.362,217.0709,-254.1049,215.641,-1548.032,-1593.362,217.0703,-254.1056,-3.7297,-12.0394,-12.2285,-3.435,-10.7986,-10.7992,-3.435,-10.7985,-10.7992,226.6548,430.0298,430.0298
103,215.5531,-1548.032,-1593.362,215.5531,-254.1053,253.9871,4115.2,2644.75,1.0,0.0,8.7,1950.0,188.052,-1548.032,-1593.362,275.2623,-914.3961,86.4124,-1548.032,-1593.362,189.8094,-999.849,86.25282,-1548.032,-1593.362,189.8101,-999.8483,-27.5011,-129.1407,-129.3003,59.7092,-25.7437,-25.743,-660.2908,-745.7437,-745.743,0.0,0.0,0.0
104,86.25282,-1548.032,-1593.362,86.25282,-999.8487,3355.204,252.5082,903.2499,0.0,1.0,11.9,450.0,86.25282,-1548.032,-1593.362,233.4987,-852.6027,94.75294,-1359.679,-1500.135,0.8745071,-725.227,95.25479,-1359.215,-1509.002,0.8742208,-725.2272,0.0,8.5001,9.002,147.2459,-85.3783,-85.3786,147.246,274.6217,274.6215,0.0,210.1621,206.8054
105,95.32241,-1371.029,-1522.007,95.32241,-725.2272,279.1964,430.8287,137.5,1.0,0.0,0.1,2500.0,95.41495,-1378.893,-1536.205,95.3224,-725.2272,95.31496,-1382.876,-1541.921,95.32248,-725.2271,95.31394,-1392.145,-1543.083,95.32206,-725.2275,0.0925,-0.0075,-0.0085,-0.0,0.0001,-0.0004,0.0,0.0001,-0.0003,16.2304,23.1715,29.8343
106,95.30307,-1390.028,-1546.222,95.30307,-725.2272,254.8689,411.7346,237.25,1.0,0.0,6.1,150.0,81.22089,-1391.347,-1528.584,81.59013,-738.9401,50.44636,-1619.327,-1370.596,44.38241,-776.1479,47.36708,-1563.89,-1438.005,44.3829,-776.1474,-14.0822,-44.8567,-47.936,-13.7129,-50.9207,-50.9202,-13.7129,-50.9207,-50.9202,17.6872,288.8296,204.7899
107,46.96525,-1585.326,-1416.538,46.96525,-776.1479,4631.469,293.6964,1145.5,0.0,1.0,3.4,2050.0,265.7522,-1349.478,-1778.0,282.0191,-541.0941,298.7714,-1617.351,-1516.453,298.5072,-524.6059,300.2135,-1585.124,-1521.165,298.5081,-524.6051,-141.213,-108.1938,-106.7518,-124.9461,-108.458,-108.4571,235.0538,251.542,251.5428,431.6006,104.9219,104.6272
108,300.2983,-1577.937,-1522.234,300.2983,-524.605,257.1931,321.7074,774.25,1.0,0.0,2.9,1550.0,130.9683,-1587.629,-1613.178,153.4693,-671.4339,120.9927,-1587.629,-1613.178,144.2047,-680.6985,120.8593,-1587.629,-1613.178,144.2053,-680.698,-169.33,-179.3056,-179.439,-146.829,-156.0936,-156.093,-146.8289,-156.0935,-156.093,91.459,91.459,91.459
109,120.7952,-1587.629,-1613.178,120.7952,-680.6985,217.4869,247.2302,154.0,0.0,1.0,1.8,200.0,124.9577,-1587.629,-1613.178,123.7936,-677.7002,127.7231,-1587.629,-1613.178,127.2716,-674.2221,112.929,-773.5641,-928.5353,95.05183,-706.4419,4.1625,6.9279,-7.8662,2.9984,6.4764,-25.7434,2.9983,6.4764,-25.7434,0.0,0.0,1063.6904
110,116.6945,-854.3324,-893.1167,116.6945,-0.04539521,1015.076,1058.487,1486.0,1.0,0.0,8.8,1050.0,98.12263,-1018.839,-848.7301,132.9218,-343.8182,26.17138,-759.2076,-905.2197,40.87653,-435.8634,30.86262,-753.3554,-892.7436,40.87694,-435.863,-18.5719,-90.5231,-85.8319,16.2273,-75.818,-75.8176,-343.7728,-435.818,-435.8176,170.3895,95.8917,100.9777
111,31.47598,-753.854,-910.5161,31.47598,-435.8629,2994.462,1042.944,397.0,1.0,1.0,1.1,1800.0,33.90196,-909.8434,-965.578,32.76523,-434.5737,36.01613,-923.4239,-878.0912,32.93907,-434.3998,36.80972,-947.7647,-874.5645,32.93962,-434.3993,2.426,4.5401,5.3337,1.2893,1.4631,1.4636,1.2892,1.4631,1.4636,165.4222,172.6422,197.2153
112,36.8553,-919.3944,-926.4114,36.8553,-434.3988,3398.594,1091.777,991.75,0.0,1.0,4.1,1450.0,227.865,-1244.602,-1101.017,245.6812,-225.5729,265.6205,-982.2061,-1020.531,265.9606,-205.2935,266.6809,-952.0812,-1019.437,265.9611,-205.2929,-168.9903,-131.2348,-130.1744,-151.1741,-130.8947,-130.8942,208.8259,229.1053,229.1059,369.1166,113.1539,98.6012
113,266.7265,-944.41,-1018.252,266.7265,-205.2935,856.9882,2748.895,4417.75,1.0,0.0,10.1,2850.0,117.0029,-1075.426,-1012.014,177.0286,-1374.991,31.05318,-801.1334,-1090.783,58.58698,-1493.433,37.12203,-635.2228,-1220.003,58.58667,-1493.433,-149.7236,124.3267,130.3955,-89.6979,151.8605,151.8602,-1169.6975,-1288.1395,-1288.1395,131.1644,160.5893,369.1886
114,38.3553,-780.6248,-1129.166,38.3553,-1493.434,3290.867,855.4611,3205.0,0.0,1.0,9.2,2250.0,167.0686,-771.8662,-1280.783,141.3522,-670.4373,256.8916,-920.2089,-1131.106,241.8477,-569.9418,256.6069,-914.5364,-1107.808,241.8479,-569.9416,128.7133,-141.4637,-141.7484,102.9969,-156.5076,-156.5074,822.9967,923.4922,923.4924,151.8698,139.5976,135.6041
115,256.5959,-913.4769,-1100.625,256.5959,-569.9414,911.3487,2789.464,636.25,1.0,1.0,6.5,550.0,257.5064,-620.0045,-1034.398,257.5309,-569.0064,258.0385,-422.6835,-996.899,257.6124,-568.9249,258.0613,-425.5315,-991.3134,257.6124,-568.9249,0.9105,1.4426,1.4654,0.935,1.0165,1.0165,0.935,1.0165,1.0165,300.8522,501.6346,500.0397
116,258.0362,-425.9892,-989.1554,258.0362,-568.9245,1404.519,2275.414,996.9999,1.0,1.0,4.6,1300.0,259.7764,123.444,-902.6047,259.5952,-567.3655,260.4008,210.8579,-888.4579,259.8188,-567.1418,260.5219,211.1784,-881.6386,259.8201,-567.1405,1.7402,2.3646,2.4857,1.559,1.7826,1.7839,1.559,1.7827,1.784,556.2085,644.759,646.1752
117,260.5036,212.4231,-882.6262,260.5036,-567.1416,2040.385,1609.635,2351.5,0.0,1.0,7.9,1900.0,127.6905,623.8959,-1169.109,126.0106,18.36537,208.9234,239.7517,-897.3096,199.3905,91.74532,209.0578,239.8641,-881.8246,199.3908,91.74562,-132.8131,-51.5802,-51.4458,-134.493,-61.1131,-61.1128,585.507,658.8869,658.8872,501.3804,31.0235,27.4527
118,209.0539,239.0646,-876.4164,209.0539,91.745,1056.534,1785.633,500.5,1.0,0.0,8.9,300.0,133.0145,347.8845,-903.2754,140.2838,22.97496,50.9496,435.562,-800.1926,54.34189,-62.96698,50.48148,421.8226,-822.2782,54.34247,-62.9664,-76.0394,-158.1043,-158.5724,-68.7701,-154.712,-154.7114,-68.77,-154.712,-154.7114,112.0856,210.7636,190.6081
119,50.43667,417.3155,-825.1738,50.43667,-62.9661,1793.549,1530.506,1015.0,0.0,0.0,6.1,1000.0,50.47768,789.5112,-516.246,50.4101,-62.99267,47.34937,978.9233,-350.7907,47.05056,-66.35221,47.21872,965.3288,-363.5943,47.05173,-66.35104,0.041,-3.0873,-3.218,-0.0266,-3.3861,-3.3849,-0.0266,-3.3861,-3.3849,483.7003,735.148,716.5014
120,47.96828,968.8049,-359.0077,47.96828,-0.06400007,1119.041,2152.206,2451.25,0.0,1.0,5.7,2750.0,283.7084,804.8133,-336.7711,283.2921,595.2598,321.0098,884.0548,-305.9292,322.3271,634.2948,328.1621,912.8522,-321.3481,322.3269,634.2947,-124.2599,-86.9585,-79.8062,-124.6762,-85.6412,-85.6414,595.3238,634.3588,634.3587,165.4923,99.9995,67.4459
121,329.1741,915.5371,-323.5944,329.1741,634.2946,2472.952,1719.293,421.75,1.0,1.0,1.1,1950.0,330.4762,1004.222,-476.181,329.9042,635.0248,330.8254,1009.777,-474.3382,329.9276,635.0482,330.8207,1013.899,-480.8623,329.9272,635.0477,1.3021,1.6513,1.6466,0.7301,0.7535,0.7531,0.7302,0.7536,0.7531,176.4871,177.7775,185.4946
122,330.8445,1014.89,-486.0779,330.8445,635.0478,2617.744,1504.547,1321.0,0.0,1.0,3.7,2200.0,244.2939,929.5085,-601.6768,246.0744,910.2777,265.7887,933.7752,-545.6075,262.7447,926.9481,267.5596,957.4621,-519.5895,262.745,926.9484,-86.5506,-65.0558,-63.2849,-84.7701,-68.0998,-68.0995,275.2299,291.9003,291.9006,143.7119,100.615,66.4905
123,267.8251,968.9013,-504.8132,267.8251,926.9477,2770.898,831.6978,235.0,1.0,1.0,9.0,100.0,267.2668,983.3532,-504.3213,267.2295,926.3521,268.685,1171.983,-480.6447,268.556,927.6786,268.7099,1179.994,-473.6828,268.5553,927.6779,-0.5583,0.8599,0.8848,-0.5956,0.7309,0.7302,-0.5956,0.7309,0.7302,14.4603,204.5148,213.3758
124,268.7199,1185.338,-469.1306,268.7199,927.6791,2986.083,614.8159,1729.75,0.0,0.0,5.3,2050.0,270.1222,106.3719,-489.6194,269.9952,928.9544,267.8457,-31.11008,-494.1666,267.5617,926.5209,267.8755,-28.46537,-490.3702,267.5622,926.5213,1.4023,-0.8742,-0.8444,1.2753,-1.1582,-1.1577,1.2753,-1.1582,-1.1578,1079.1606,1216.7057,1213.9892
125,267.8961,-26.53077,-488.8119,267.8961,926.5204,1774.665,1827.763,977.5,0.0,1.0,6.5,900.0,104.3787,359.6491,-497.5189,115.1488,1133.773,169.1806,1.495916,-547.1996,167.6798,1186.304,171.4707,-11.48351,-535.2961,167.6798,1186.304,-163.5174,-98.7155,-96.4254,-152.7473,-100.2163,-100.2163,207.2526,259.7836,259.7836,386.278,64.7659,48.859
126,171.5658,-14.33587,-532.2624,171.5658,1186.304,1281.598,2357.762,2560.0,0.0,1.0,8.0,2050.0,103.4757,314.0283,-282.3786,88.52797,1823.266,172.6058,-77.03817,-436.399,162.9913,1897.729,173.3731,-72.69543,-441.1217,162.991,1897.729,-68.0901,1.04,1.8073,-83.0378,-8.5745,-8.5748,636.962,711.425,711.425,412.6317,114.5485,108.2241
127,173.4051,-71.87505,-442.1264,173.4051,1897.729,1366.918,2257.061,172.0,0.0,1.0,1.6,300.0,180.9022,-89.69378,-434.5472,180.753,1905.077,183.809,-91.20532,-420.829,183.3997,1907.724,183.7959,-88.5323,-420.5963,183.3993,1907.723,7.4971,10.4039,10.3908,7.3479,9.9946,9.9942,7.348,9.995,9.994,19.3637,28.7618,27.2215
128,183.7845,-87.08999,-422.1526,183.7845,1907.723,1380.859,1891.214,2635.0,0.0,1.0,6.5,2600.0,81.91758,251.9965,50.20442,125.4285,2569.367,180.914,-75.78535,-367.3872,174.478,2618.417,184.738,-93.50071,-361.3007,174.4774,2618.416,-101.8669,-2.8705,0.9535,-58.356,-9.3065,-9.3071,661.644,710.694,710.693,581.4644,55.92,61.1887
129,184.9164,-98.31052,-360.0389,184.9164,2618.417,1445.279,1905.321,460.0,1.0,1.0,9.6,250.0,184.425,-90.65829,-222.1591,184.3668,2617.867,187.1722,-77.39238,148.6443,187.164,2620.664,187.2091,-77.39782,150.8309,187.1638,2620.664,-0.4914,2.2558,2.2927,-0.5496,2.2476,2.2474,-0.55,2.247,2.247,138.092,509.1131,511.2977
130,187.9281,-75.8251,133.0833,187.9281,-0.03886636,1740.814,1683.003,244.0,1.0,1.0,2.4,400.0,188.2382,-68.98977,200.0754,188.3844,0.4173887,188.0221,-72.21284,236.3405,188.73,0.7630756,187.9634,-71.4425,240.2992,188.7299,0.7629134,0.3101,0.094,0.0353,0.4563,0.8019,0.8018,0.4563,0.8019,0.8018,67.3399,103.3204,107.3054
131,187.9862,-74.27745,246.0735,187.9862,0.7627643,1742.623,1569.145,372.25,1.0,0.0,1.1,1650.0,159.3843,-98.23278,159.6617,159.1965,-28.02693,156.1744,-97.79095,162.1108,157.1588,-30.06457,155.9156,-105.9622,154.0834,157.1588,-30.06459,-28.6019,-31.8118,-32.0706,-28.7897,-30.8274,-30.8274,-28.7897,-30.8273,-30.8274,89.6708,87.193,97.2939
132,155.9127,-102.0975,157.3,155.9127,-30.06457,2143.988,1799.382,1756.75,0.0,1.0,4.7,2350.0,180.1503,-138.4269,287.0795,202.3561,376.3788,233.3386,-150.6355,339.6765,229.2624,403.2852,236.6052,-138.3597,306.911,229.2621,403.2848,24.2376,77.4259,80.6925,46.4434,73.3497,73.3494,406.4434,433.3498,433.3494,134.7685,188.725,153.9428
133,236.6984,-165.6596,312.8757,236.6984,403.285,1955.439,2351.853,531.25,0.0,0.0,11.5,250.0,233.4503,-282.3016,201.6737,233.7674,400.354,229.6011,-683.6835,-108.0139,229.8201,396.4067,229.4583,-680.9571,-115.838,229.8199,396.4065,-3.2481,-7.0973,-7.2401,-2.931,-6.8783,-6.8785,-2.931,-6.8783,-6.8785,161.156,667.4555,670.3185
134,229.511,-678.6189,-120.0344,229.511,396.4062,1474.473,2957.071,1469.5,0.0,1.0,8.3,1100.0,227.9743,-363.3423,10.04353,212.4391,739.3343,298.0624,-602.3912,-40.51002,291.4521,818.3474,298.6056,-607.9152,-58.37348,291.4516,818.3469,-1.5367,68.5514,69.0946,-17.0719,61.9411,61.9406,342.9281,421.9412,421.9407,341.0566,110.158,93.8141
135,298.617,-608.6502,-62.32784,298.617,818.3474,1357.136,1979.484,104.5,1.0,0.0,0.3,100.0,298.6438,-608.0772,-63.45471,298.6158,818.3463,298.5714,-605.5896,-64.8295,298.6168,818.3472,298.5808,-607.6687,-69.23003,298.6174,818.3478,0.0268,-0.0456,-0.0362,-0.0012,-0.0002,0.0004,-0.0011,-0.0002,0.0004,1.2642,3.9529,6.9716
136,298.5696,-608.1568,-69.21905,298.5696,818.3468,1357.087,1970.746,4142.5,1.0,0.0,9.8,2750.0,255.4356,-883.5567,466.8819,304.4863,-255.7365,179.4666,-689.9438,-250.5855,199.8546,-360.3683,181.404,-696.7266,-231.0277,199.8553,-360.3675,-43.134,-119.103,-117.1656,5.9167,-98.715,-98.7143,-1074.0833,-1178.7151,-1178.7143,602.7017,198.9545,184.4631
137,181.4743,-701.7072,-221.7872,181.4743,-360.3673,1098.656,2022.457,1234.0,0.0,1.0,6.3,1200.0,75.67625,-487.9487,-337.7737,100.1415,-81.70005,146.7785,-709.5119,-196.4999,147.7403,-34.10128,151.793,-716.0996,-187.7719,147.7409,-34.10072,-105.7981,-34.6958,-29.6813,-81.3328,-33.734,-33.7334,278.6672,326.266,326.2666,243.1986,26.4643,36.9348
138,152.1567,-717.9823,-184.7779,152.1567,-34.10148,1826.703,2244.645,334.0,1.0,1.0,10.4,150.0,153.2417,-743.5301,-135.737,153.0285,-33.22964,156.3206,-892.9918,165.2446,156.2582,-29.99992,156.5896,-890.476,164.6478,156.2577,-30.00047,1.085,4.1639,4.4329,0.8718,4.1015,4.101,0.8718,4.1016,4.101,55.2965,391.3363,389.6824
139,156.6121,-891.5306,164.8357,156.6121,-30.00091,2140.721,1781.538,3034.75,1.0,0.0,9.1,2150.0,33.27723,-1031.321,404.7569,106.2799,-800.333,0.2568877,-761.7187,338.7495,15.09041,-891.5226,3.009724,-769.8751,315.1538,15.0907,-891.5222,-123.3349,-156.3552,-153.6024,-50.3322,-141.5217,-141.5214,-770.3321,-861.5217,-861.5213,277.6752,217.0188,193.3794
140,3.882896,-782.5919,317.2303,3.882896,-0.06049229,1486.181,1019.749,4384.0,0.0,1.0,10.2,2800.0,95.83121,-819.6409,110.4592,58.99624,1135.053,201.7759,-797.7464,225.7553,179.0102,1255.067,198.0077,-860.4468,266.5229,179.009,1255.066,91.9483,-162.107,-165.8752,55.1133,175.1273,175.1261,1135.1135,1255.1275,1255.1265,210.0641,92.7218,92.9119
141,197.4611,-851.5274,271.673,197.4611,1255.067,994.2885,1602.153,3181.0,0.0,1.0,7.9,2600.0,324.2849,-947.7622,670.1803,293.5227,2071.129,21.02947,-808.0153,280.3223,7.706038,2145.312,20.12313,-810.5773,268.6217,7.706184,2145.312,126.8238,-176.4316,-177.338,96.0616,170.2449,170.2451,816.062,890.245,890.245,409.9624,44.3634,41.0636
142,20.08663,-810.3656,264.1407,20.08663,2145.312,1635.329,1053.728,1948.0,1.0,0.0,8.8,1400.0,246.3052,-823.5135,320.8806,266.5185,1671.744,167.9065,-935.1763,124.1778,178.1884,1583.414,168.896,-932.3153,138.7438,178.1894,1583.415,-133.7814,147.8199,148.8094,-113.5681,158.1018,158.1028,-473.568,-561.898,-561.897,58.2433,187.5295,174.9174
143,168.9899,-930.5472,143.5873,168.9899,1583.415,1980.033,1687.473,133.0,1.0,0.0,0.1,2200.0,169.0246,-931.3681,150.2034,168.9904,1583.415,169.0476,-928.3645,153.3242,168.9899,1583.415,169.0536,-928.0131,156.6683,168.9901,1583.415,0.0347,0.0577,0.0637,0.0005,0.0,0.0002,0.0,0.0,0.0,6.6668,9.9785,13.3242
144,169.0676,-931.275,159.0569,169.0676,1583.415,1995.268,1671.274,193.0,0.0,1.0,6.2,100.0,171.6032,-937.2138,160.0663,172.6278,1586.975,198.7908,-886.2345,169.5006,199.2467,1613.594,201.0109,-890.7393,215.2296,199.246,1613.593,2.5356,29.7232,31.9433,3.5602,30.1791,30.1784,3.56,30.179,30.178,6.024,46.2355,69.2713
145,201.3756,-893.2625,193.1571,201.3756,1613.594,973.7186,1725.541,1601.5,0.0,1.0,7.7,1300.0,226.8429,-864.1734,196.9925,222.277,1994.496,297.5953,-882.4702,253.5568,291.5854,2063.804,297.3559,-869.791,237.149,291.5838,2063.803,25.4673,96.2197,95.9803,20.9014,90.2098,90.2082,380.902,450.21,450.209,29.3409,61.3563,49.8618
146,297.3506,-866.6426,232.9457,297.3506,2063.804,1050.828,2288.808,625.0,1.0,1.0,5.0,700.0,298.6534,-590.5684,85.27015,298.5678,2065.021,301.2481,-500.307,35.08592,301.0097,2067.463,301.1964,-500.0944,32.96411,301.01,2067.463,1.3028,3.8975,3.8458,1.2172,3.6591,3.6594,1.217,3.659,3.659,313.0895,416.3535,417.5527
147,301.1987,-495.3685,34.46218,301.1987,2067.463,1525.215,2144.628,1612.0,1.0,1.0,5.6,1800.0,303.9184,261.2072,-519.0526,303.3906,2069.654,306.5995,391.2004,-542.4747,306.9303,2073.194,306.7795,402.7799,-549.0508,306.9303,2073.194,2.7197,5.4008,5.5808,2.1919,5.7316,5.7316,2.191,5.731,5.731,937.4355,1057.7621,1071.0546
