timestamp,thread,cls,name,method,tag,arg_0,arg_1,arg_2,arg_3,arg_4,arg_5,arg_6,arg_7,arg_8,arg_9,arg_10,arg_11,arg_12,arg_13,arg_14,arg_15,arg_16,arg_17,arg_18,arg_19
13,main,Inertial,inertial,state,,1,399,0,0,1,0,0,0,0.2441481,0.9460737,0.03051851,-0.04492188,0.03137207,1.009033,1
14,main,Gps,gps,state,,1,399,88.08662,88.08662,63.86924,-45.327,100,1,-0.3155246,2.701602,88.08662,-0.5798517,-1.251259,1.159703,0.07836914,-0.006347656,-1.005249,1
15,main,Motor,motor_lf,state,,1,397,1073741823,0,1,0,2,0,0,0,0,0,0,35,0
20,main,Motor,motor_lb,state,,1,408,1073741823,0,1,0,2,0,0,0,0,0,0,35,0
20,main,Motor,motor_rf,state,,1,408,1073741823,0,1,0,2,0,0,0.039,0,0.01712656,0,35,0
21,main,Motor,motor_rb,state,,1,413,1073741823,0,1,0,2,0,0,0,0,0,0,35,0
1022,main,Inertial,inertial,state,,1,1399,0,0,1,0,0,0,0.2441481,0.9155553,0.03051851,-0.04602051,0.03222656,1.007813,1
1023,main,Gps,gps,state,,1,1401,88.08564,88.08564,63.80745,-45.27778,100,0,-0.3138477,2.710776,88.08564,-0.6408887,-1.373333,1.098666,0.0769043,-0.007080078,-1.007202,1
1032,main,Motor,motor_lf,state,,1,1415,1073741823,0,1,0,2,0,0,0,0,0,0,35,0
1033,main,Motor,motor_lb,state,,1,1411,1073741823,0,1,0,2,0,0,0,0,0,0,35,0
1034,main,Motor,motor_rf,state,,1,1409,1073741823,0,1,0,2,0,0,0.039,0,0.01716,0,35,0
1034,main,Motor,motor_rb,state,,1,1414,1073741823,0,1,0,2,0,0,0,0,0,0,35,0
1852,t56125588,Controller,controller,axis3_changed,,108,10.20472
1852,t56125588,Motor,motor_lf,spin,,0,10.20472,0
1852,t56125588,Motor,motor_lb,spin,,0,10.20472,0
1853,t55601300,Controller,controller,axis2_changed,,-47,-4.440945
1858,t55601300,Motor,motor_rf,spin,,0,-4.440945,0
1859,t55601300,Motor,motor_rb,spin,,0,-4.440945,0
1873,t56125588,Controller,controller,axis3_changed,,127,12
1873,t56125588,Motor,motor_lf,spin,,0,12,0
1873,t56125588,Motor,motor_lb,spin,,0,12,0
1874,t55601300,Controller,controller,axis2_changed,,-127,-12
1874,t55601300,Motor,motor_rf,spin,,0,-12,0
1875,t55601300,Motor,motor_rb,spin,,0,-12,0
2035,main,Inertial,inertial,state,,1,2409,22.49568,22.49568,0,0.6252675,-1.593989,22.49568,2.533036,4.058962,-284.5851,-0.2976074,-0.009155273,1.111938,1
2041,main,Gps,gps,state,,1,2394,108.4068,108.4068,41.38996,-77.27374,100,0,0.04867676,2.760465,108.4068,-5.73748,-4.852443,270.8518,-0.2612305,0.4765625,-0.8787842,1
2043,main,Motor,motor_lf,state,,1,2413,1073741823,0,1,0,0,166.4,184.9333,1.023,7.466464,0.3856143,63.06027,35,200
2044,main,Motor,motor_lb,state,,1,2410,1073741823,0,1,0,0,161.2,179.9333,0.89,6.175049,0.3277798,60.59085,35,200
2045,main,Motor,motor_rf,state,,1,2411,1073741823,0,1,0,1,-156.4,-189.5333,1.034,7.757076,0.3909001,65.26891,35,-200
2047,main,Motor,motor_rb,state,,1,2410,1073741823,0,1,0,1,-163.6,-201.5333,0.802,6.08838,0.2885414,65.76141,35,-200
2216,t56125588,Controller,controller,axis3_changed,,0,0
2216,t56125588,Motor,motor_lf,spin,,0,0,0
2216,t56125588,Motor,motor_lb,spin,,0,0,0
2217,t55601300,Controller,controller,axis2_changed,,0,0
2217,t55601300,Motor,motor_rf,spin,,0,0,0
2217,t55601300,Motor,motor_rb,spin,,0,0,0
2376,t56125588,Controller,controller,axis3_changed,,51,4.818898
2381,t56125588,Motor,motor_lf,spin,,0,4.818898,0
2381,t56125588,Motor,motor_lb,spin,,0,4.818898,0
2396,t56125588,Controller,controller,axis3_changed,,127,12
2396,t56125588,Motor,motor_lf,spin,,0,12,0
2396,t56125588,Motor,motor_lb,spin,,0,12,0
2397,t55601300,Controller,controller,axis2_changed,,32,3.023622
2397,t55601300,Motor,motor_rf,spin,,0,3.023622,0
2398,t55601300,Motor,motor_rb,spin,,0,3.023622,0
2416,t55601300,Controller,controller,axis2_changed,,107,10.11024
2416,t55601300,Motor,motor_rf,spin,,0,10.11024,0
2421,t55601300,Motor,motor_rb,spin,,0,10.11024,0
2466,t55601300,Controller,controller,axis2_changed,,127,12
2466,t55601300,Motor,motor_rf,spin,,0,12,0
2466,t55601300,Motor,motor_rb,spin,,0,12,0
3048,main,Inertial,inertial,state,,1,3399,161.2405,161.2405,0,-1.445276,-1.620848,161.2405,7.080294,2.86874,-1.43437,0.04040527,0.1259766,1.341431,1
3049,main,Gps,gps,state,,1,3395,251.9519,251.9519,-809.342,-155.1668,100,0,0.8178987,1.429148,-108.0481,-2.533036,-9.704886,9.949034,0.7674561,-0.3934326,-1.132446,1
3054,main,Motor,motor_lf,state,,1,3415,1073741823,0,1,0,0,1356.8,221.8,0.348,1.990798,0.08572725,47.30965,35,200
3055,main,Motor,motor_lb,state,,1,3413,1073741823,0,1,0,0,1349.2,217,0.396,2.433004,0.1070869,50.99136,35,200
3056,main,Motor,motor_rf,state,,1,3409,1073741823,0,1,0,0,309.2,215,0.397,2.422868,0.1076328,50.73102,35,200
3057,main,Motor,motor_rb,state,,1,3411,1073741823,0,1,0,0,245.2,222.2667,0.469,3.242771,0.1393462,57.50352,35,200
3274,t56125588,Controller,controller,axis3_changed,,93,8.787401
3279,t56125588,Motor,motor_lf,spin,,0,8.787401,0
3279,t56125588,Motor,motor_lb,spin,,0,8.787401,0
3299,t56125588,Controller,controller,axis3_changed,,6,0.5669291
3299,t56125588,Motor,motor_lf,spin,,0,0.5669291,0
3299,t56125588,Motor,motor_lb,spin,,0,0.5669291,0
3314,t56125588,Controller,controller,axis3_changed,,-61,-5.76378
3314,t56125588,Motor,motor_lf,spin,,0,-5.76378,0
3314,t56125588,Motor,motor_lb,spin,,0,-5.76378,0
3334,t56125588,Controller,controller,axis3_changed,,-127,-12
3334,t56125588,Motor,motor_lf,spin,,0,-12,0
3340,t56125588,Motor,motor_lb,spin,,0,-12,0
3425,t56125588,Controller,controller,axis3_changed,,-23,-2.173228
3425,t56125588,Motor,motor_lf,spin,,0,-2.173228,0
3425,t56125588,Motor,motor_lb,spin,,0,-2.173228,0
3445,t56125588,Controller,controller,axis3_changed,,0,0
3445,t56125588,Motor,motor_lf,spin,,0,0,0
3445,t56125588,Motor,motor_lb,spin,,0,0,0
3525,t55601300,Controller,controller,axis2_changed,,0,0
3525,t55601300,Motor,motor_rf,spin,,0,0,0
3525,t55601300,Motor,motor_rb,spin,,0,0,0
3656,t56125588,Controller,controller,axis3_changed,,9,0.8503937
3656,t56125588,Motor,motor_lf,spin,,0,0.8503937,0
3656,t56125588,Motor,motor_lb,spin,,0,0.8503937,0
3676,t56125588,Controller,controller,axis3_changed,,107,10.11024
3676,t56125588,Motor,motor_lf,spin,,0,10.11024,0
3676,t56125588,Motor,motor_lb,spin,,0,10.11024,0
3706,t56125588,Controller,controller,axis3_changed,,127,12
3706,t56125588,Motor,motor_lf,spin,,0,12,0
3706,t56125588,Motor,motor_lb,spin,,0,12,0
3707,t55601300,Controller,controller,axis2_changed,,83,7.84252
3712,t55601300,Motor,motor_rf,spin,,0,7.84252,0
3713,t55601300,Motor,motor_rb,spin,,0,7.84252,0
3727,t55601300,Controller,controller,axis2_changed,,127,12
3727,t55601300,Motor,motor_rf,spin,,0,12,0
3727,t55601300,Motor,motor_rb,spin,,0,12,0
4059,main,Inertial,inertial,state,,1,4408,114.9626,114.9626,0,1.673119,0.887929,114.9626,0.8239998,-2.227851,-0.8239998,-0.08520508,0.06213379,1.07605,1
4060,main,Gps,gps,state,,1,4398,204.3471,204.3471,-1364.809,-692.9334,99,0,0.8246741,1.07675,-155.6529,-0.5493331,-16.02222,0.2746666,0.2625732,0.0501709,-1.110596,1
4067,main,Motor,motor_lf,state,,1,4414,1073741823,0,1,0,0,2105.2,218.1333,0.429,2.777327,0.1216069,53.73023,35,200
4068,main,Motor,motor_lb,state,,1,4412,1073741823,0,1,0,0,2004,219.4667,0.402,2.528494,0.110039,52.44548,35,200
4069,main,Motor,motor_rf,state,,1,4410,1073741823,0,1,0,0,1468.8,221.9333,0.393,2.463213,0.1060066,52.20488,35,2,0,0
4112,t56125588,Motor,motor_lf,spin,,0,0,0
4112,t56125588,Motor,motor_lb,spin,,0,0,0
